,CPGREN01USM657N
1969-05-01,-0.401606425702822
1969-06-01,0.806451612903237
1969-07-01,-0.4
1969-08-01,0.0
1969-09-01,0.0
1969-10-01,0.401606425702811
1969-11-01,-0.4
1969-12-01,0.401606425702811
1970-01-01,0.4
1970-02-01,0.0
1970-03-01,-0.398406374501992
1970-04-01,2.0
1970-05-01,0.0
1970-06-01,-0.784313725490196
1970-07-01,0.790513833992094
1970-08-01,-0.392156862745098
1970-09-01,0.787401574803149
1970-10-01,1.171875
1970-11-01,0.0
1970-12-01,1.15830115830116
1971-01-01,0.381679389312977
1971-02-01,0.0
1971-03-01,0.0
1971-04-01,-0.760456273764258
1971-05-01,0.383141762452107
1971-06-01,0.381679389312977
1971-07-01,0.0
1971-08-01,1.90114068441065
1971-09-01,0.373134328358209
1971-10-01,0.0
1971-11-01,-0.743494423791821
1971-12-01,1.12359550561798
1972-01-01,0.0
1972-02-01,-0.37037037037037
1972-03-01,0.371747211895911
1972-04-01,-0.37037037037037
1972-05-01,0.743494423791821
1972-06-01,-0.3690036900369
1972-07-01,0.37037037037037
1972-08-01,0.7380073800738
1972-09-01,1.0989010989011
1972-10-01,0.0
1972-11-01,0.36231884057971
1972-12-01,0.0
1973-01-01,1.08303249097473
1973-02-01,1.07142857142857
1973-03-01,0.353356890459364
1973-04-01,1.05633802816901
1973-05-01,0.696864111498258
1973-06-01,1.3840830449827
1973-07-01,0.0
1973-08-01,0.341296928327645
1973-09-01,0.0
1973-10-01,2.38095238095238
1973-11-01,3.65448504983389
1973-12-01,3.84615384615384
1974-01-01,5.55555555555557
1974-02-01,3.80116959064326
1974-03-01,4.22535211267607
1974-04-01,1.89189189189189
1974-05-01,1.85676392572944
1974-06-01,0.78125
1974-07-01,1.03359173126615
1974-08-01,0.255754475703325
1974-09-01,0.255102040816326
1974-10-01,-0.763358778625954
1974-11-01,0.256410256410256
1974-12-01,0.767263427109974
1975-01-01,1.01522842639594
1975-02-01,1.00502512562814
1975-03-01,0.248756218905473
1975-04-01,0.992555831265494
1975-05-01,1.22850122850124
1975-06-01,1.69902912621359
1975-07-01,2.38663484486873
1975-08-01,0.699300699300699
1975-09-01,0.925925925925926
1975-10-01,0.0
1975-11-01,0.458715596330275
1975-12-01,0.228310502283105
1976-01-01,0.227790432801822
1976-02-01,0.0
1976-03-01,-0.454545454545454
1976-04-01,0.0
1976-05-01,1.14155251141552
1976-06-01,1.58013544018059
1976-07-01,0.888888888888888
1976-08-01,0.440528634361246
1976-09-01,0.657894736842105
1976-10-01,0.435729847494553
1976-11-01,0.650759219088937
1976-12-01,1.29310344827585
1977-01-01,0.851063829787234
1977-02-01,1.26582278481013
1977-03-01,1.04166666666667
1977-04-01,0.824742268041237
1977-05-01,0.613496932515337
1977-06-01,0.813008130081301
1977-07-01,0.60483870967743
1977-08-01,0.400801603206413
1977-09-01,0.0
1977-10-01,0.399201596806387
1977-11-01,0.0
1977-12-01,0.198807157057654
1978-01-01,0.198412698412698
1978-02-01,0.594059405940594
1978-03-01,0.590551181102351
1978-04-01,0.587084148727995
1978-05-01,0.972762645914386
1978-06-01,1.34874759152217
1978-07-01,0.760456273764258
1978-08-01,0.566037735849067
1978-09-01,0.562851782363967
1978-10-01,0.746268656716418
1978-11-01,-0.37037037037037
1978-12-01,1.11524163568773
1979-01-01,1.47058823529412
1979-02-01,1.44927536231884
1979-03-01,2.67857142857142
1979-04-01,3.65217391304349
1979-05-01,4.19463087248323
1979-06-01,5.63607085346216
1979-07-01,4.26829268292683
1979-08-01,3.21637426900583
1979-09-01,2.69121813031162
1979-10-01,1.10344827586207
1979-11-01,0.0
1979-12-01,2.04638472032743
1980-01-01,4.41176470588236
1980-02-01,5.12163892445581
1980-03-01,3.04506699147382
1980-04-01,1.06382978723404
1980-05-01,1.16959064327485
1980-06-01,1.27167630057804
1980-07-01,0.799086757990874
1980-08-01,0.0
1980-09-01,-0.113250283125714
1980-10-01,-0.566893424036275
1980-11-01,-0.570125427594077
1980-12-01,1.26146788990826
1981-01-01,3.05775764439412
1981-02-01,5.05494505494504
1981-03-01,1.98744769874478
1981-04-01,0.205128205128205
1981-05-01,0.307062436028653
1981-06-01,0.71428571428572
1981-07-01,0.405268490374873
1981-08-01,0.100908173562053
1981-09-01,0.201612903225806
1981-10-01,-0.503018108651906
1981-11-01,-0.202224469160768
1981-12-01,0.101317122593713
1982-01-01,0.404858299595142
1982-02-01,-0.806451612903226
1982-03-01,-1.6260162601626
1982-04-01,-2.58264462809918
1982-05-01,1.59066808059386
1982-06-01,4.07098121085595
1982-07-01,1.50451354062187
1982-08-01,0.0
1982-09-01,-0.0988142292490285
1982-10-01,0.19782393669634
1982-11-01,-0.592300098716683
1982-12-01,-0.595829195630586
1983-01-01,-1.29870129870129
1983-02-01,-1.92307692307692
1983-03-01,-1.65118679050568
1983-04-01,2.51836306400839
1983-05-01,2.76356192425794
1983-06-01,1.39442231075696
1983-07-01,0.687622789783884
1983-08-01,-0.0975609756097396
1983-09-01,-0.0976562500000054
1983-10-01,-0.977517106549375
1983-11-01,-1.18460019743337
1983-12-01,-0.499500499500482
1984-01-01,-0.301204819277114
1984-02-01,0.805639476334329
1984-03-01,-0.499500499500482
1984-04-01,0.803212851405622
1984-05-01,1.09561752988047
1984-06-01,0.591133004926097
1984-07-01,0.0
1984-08-01,-0.293829578844265
1984-09-01,0.392927308447937
1984-10-01,-0.489236790606659
1984-11-01,-1.17994100294985
1984-12-01,-0.696517412935306
1985-01-01,-1.00200400801604
1985-02-01,-0.809716599190283
1985-03-01,1.3265306122449
1985-04-01,1.81268882175225
1985-05-01,1.78041543026706
1985-06-01,1.16618075801749
1985-07-01,0.096061479346809
1985-08-01,-0.767754318618064
1985-09-01,-0.29013539651837
1985-10-01,-1.26091173617847
1985-11-01,-0.491159135559927
1985-12-01,0.296150049358358
1986-01-01,-0.393700787401575
1986-02-01,-3.75494071146246
1986-03-01,-6.67351129363449
1986-04-01,-5.17051705170517
1986-05-01,1.62412993039443
1986-06-01,3.53881278538813
1986-07-01,-3.74862183020948
1986-08-01,-2.0618556701031
1986-09-01,0.467836257309941
1986-10-01,-3.25960419091967
1986-11-01,-2.04572803850783
1986-12-01,0.245700245700246
1987-01-01,2.8186274509804
1987-02-01,2.02622169249107
1987-03-01,0.233644859813084
1987-04-01,0.699300699300699
1987-05-01,1.15740740740741
1987-06-01,3.77574370709383
1987-07-01,0.441014332965821
1987-08-01,1.7563117453348
1987-09-01,-0.431499460625674
1987-10-01,-2.70855904658722
1987-11-01,-0.89086859688196
1987-12-01,-0.786516853932578
1988-01-01,-1.01925254813138
1988-02-01,-0.45766590389016
1988-03-01,-0.574712643678167
1988-04-01,0.924855491329492
1988-05-01,1.60366552119129
1988-06-01,2.59301014656145
1988-07-01,0.439560439560439
1988-08-01,0.984682713347914
1988-09-01,-0.433369447453954
1988-10-01,-2.17627856365615
1988-11-01,-1.11234705228031
1988-12-01,-0.224971878515186
1989-01-01,0.338218714768877
1989-02-01,0.337078651685399
1989-03-01,0.5599104143337
1989-04-01,5.67928730512249
1989-05-01,2.63435194942045
1989-06-01,1.64271047227926
1989-07-01,-0.505050505050499
1989-08-01,-1.52284263959391
1989-09-01,-1.13402061855669
1989-10-01,-1.35557872784151
1989-11-01,-1.47991543340379
1989-12-01,0.0
1990-01-01,4.72103004291844
1990-02-01,-1.2295081967213
1990-03-01,-0.933609958506218
1990-04-01,0.209424083769633
1990-05-01,1.04493207941484
1990-06-01,2.8955532574974
1990-07-01,-0.603015075376873
1990-08-01,4.75227502527805
1990-09-01,5.01930501930502
1990-10-01,2.38970588235295
1990-11-01,-0.448833034111315
1990-12-01,-0.721370604147881
1991-01-01,-2.72479564032698
1991-02-01,-4.01493930905695
1991-03-01,-3.01556420233463
1991-04-01,-0.200601805416249
1991-05-01,2.61306532663315
1991-06-01,1.37120470127327
1991-07-01,-0.77294685990336
1991-08-01,0.194741966893855
1991-09-01,0.680272108843532
1991-10-01,-1.73745173745175
1991-11-01,0.0
1991-12-01,0.0982318271120119
1992-01-01,-1.76643768400396
1992-02-01,-1.09890109890109
1992-03-01,-0.101010101010084
1992-04-01,0.606673407482294
1992-05-01,2.91457286432161
1992-06-01,3.41796875000002
1992-07-01,0.0944287063267073
1992-08-01,-0.566037735849046
1992-09-01,0.474383301707785
1992-10-01,-1.32200188857416
1992-11-01,0.0
1992-12-01,-0.574162679425805
1993-01-01,-0.481231953801759
1993-02-01,-1.1605415860735
1993-03-01,0.293542074363987
1993-04-01,0.585365853658547
1993-05-01,1.26091173617847
1993-06-01,2.01149425287355
1993-07-01,-0.657276995305138
1993-08-01,-0.5671077504726
1993-09-01,0.0
1993-10-01,0.190114068441075
1993-11-01,-1.61290322580646
1993-12-01,-1.2536162005786
1994-01-01,-1.07421875000002
1994-02-01,0.691016781836147
1994-03-01,-0.0980392156862579
1994-04-01,0.0981354268890903
1994-05-01,0.882352941176476
1994-06-01,2.72108843537413
1994-07-01,1.04068117313152
1994-08-01,1.59176029962547
1994-09-01,-0.276497695852529
1994-10-01,-2.2181146025878
1994-11-01,-0.0945179584121249
1994-12-01,-0.946073793755881
1995-01-01,-0.477554918815669
1995-02-01,-0.479846449136282
1995-03-01,-0.482160077145618
1995-04-01,0.678294573643427
1995-05-01,2.30991337824829
1995-06-01,2.82220131702729
1995-07-01,-1.09789569990853
1995-08-01,-0.647548566142434
1995-09-01,-1.11731843575419
1995-10-01,-1.60075329566858
1995-11-01,-1.62679425837319
1995-12-01,0.486381322957182
1996-01-01,1.64569215876092
1996-02-01,-0.0952380952381006
1996-03-01,1.14394661582457
1996-04-01,3.67577756833178
1996-05-01,2.63636363636364
1996-06-01,0.177147918511947
1996-07-01,-0.530503978779831
1996-08-01,-0.800000000000025
1996-09-01,0.0896057347670503
1996-10-01,-1.07430617726052
1996-11-01,0.542986425339356
1996-12-01,0.990099009901005
1997-01-01,0.98039215686274
1997-02-01,-0.176522506619604
1997-03-01,-1.67992926613616
1997-04-01,-1.07913669064748
1997-05-01,-0.090909090909096
1997-06-01,2.18380345768881
1997-07-01,-0.801424755120198
1997-08-01,0.987432675044878
1997-09-01,1.24444444444443
1997-10-01,-2.10711150131694
1997-11-01,-0.717488789237668
1997-12-01,-2.0776874435411
1998-01-01,-2.30627306273061
1998-02-01,-2.54957507082154
1998-03-01,-1.55038759689922
1998-04-01,0.295275590551198
1998-05-01,1.864573110893
1998-06-01,1.83044315992292
1998-07-01,-0.47303689687794
1998-08-01,-1.33079847908746
1998-09-01,-1.05973025048167
1998-10-01,-1.36319376825709
1998-11-01,-0.789733464955555
1998-12-01,-1.59203980099502
1999-01-01,-0.808897876643085
1999-02-01,-0.815494393476044
1999-03-01,1.13052415210689
1999-04-01,6.70731707317074
1999-05-01,0.57142857142856
1999-06-01,1.13636363636364
1999-07-01,1.77902621722846
1999-08-01,2.39190432382706
1999-09-01,1.70709793351304
1999-10-01,-1.41342756183749
1999-11-01,-0.35842293906808
1999-12-01,0.899280575539578
2000-01-01,0.26737967914438
2000-02-01,3.73333333333332
2000-03-01,4.71293916023994
2000-04-01,-1.22749590834697
2000-05-01,0.248550124275039
2000-06-01,7.10743801652893
2000-07-01,0.0771604938271648
2000-08-01,-2.92983808789513
2000-09-01,3.73312152501985
2000-10-01,-0.995405819295546
2000-11-01,-0.232018561484932
2000-12-01,-0.697674418604655
2001-01-01,3.43481654957065
2001-02-01,-0.377358490566025
2001-03-01,-1.89393939393941
2001-04-01,2.77992277992278
2001-05-01,5.25920360631105
2001-06-01,0.285510349750178
2001-07-01,-5.76512455516013
2001-08-01,-2.26586102719034
2001-09-01,2.39567233384853
2001-10-01,-7.8490566037736
2001-11-01,-4.99590499590498
2001-12-01,-3.9655172413793
2002-01-01,0.269299820466781
2002-02-01,-0.626678603401964
2002-03-01,4.14414414414413
2002-04-01,5.70934256055364
2002-05-01,0.572831423895249
2002-06-01,1.6273393002441
2002-07-01,0.480384307445966
2002-08-01,0.239043824701191
2002-09-01,0.238473767885528
2002-10-01,-0.237906423473429
2002-11-01,-0.397456279809243
2002-12-01,-1.59616919393454
2003-01-01,3.40632603406327
2003-02-01,6.19607843137254
2003-03-01,5.31757754800591
2003-04-01,-3.15568022440393
2003-05-01,-2.96886314265024
2003-06-01,1.86567164179103
2003-07-01,0.219780219780232
2003-08-01,2.77777777777777
2003-09-01,2.84495021337126
2003-10-01,-5.32503457814661
2003-11-01,-2.77574872169467
2003-12-01,-0.976709241172038
2004-01-01,4.24886191198786
2004-02-01,2.32896652110626
2004-03-01,1.77809388335704
2004-04-01,1.95667365478686
2004-05-01,5.62028786840301
2004-06-01,3.6340038935756
2004-07-01,-2.12899185973699
2004-08-01,-0.639795265515042
2004-09-01,-0.643915003219567
2004-10-01,2.20349967595591
2004-11-01,0.570703868104013
2004-12-01,-3.08953341740229
2005-01-01,-1.17111255692906
2005-02-01,2.17248189598417
2005-03-01,3.60824742268043
2005-04-01,6.28109452736318
2005-05-01,-0.877706260971324
2005-06-01,1.18063754427391
2005-07-01,4.14235705950993
2005-08-01,4.5378151260504
2005-09-01,11.4683815648446
2005-10-01,-1.77884615384614
2005-11-01,-8.1742535487029
2005-12-01,-4.05117270788912
2006-01-01,5.27777777777779
2006-02-01,-1.63588390501319
2006-03-01,1.1802575107296
2006-04-01,6.78685047720045
2006-05-01,3.92254220456801
2006-06-01,0.955566172957488
2006-07-01,1.79839091339327
2006-08-01,-0.185960018596012
2006-09-01,-7.26595249184909
2006-10-01,-8.94023103967854
2006-11-01,-0.496414782129083
2006-12-01,2.66075388026607
2007-01-01,-0.881749460043189
2007-02-01,0.481568037828133
2007-03-01,6.76494028224299
2007-04-01,5.24859213218978
2007-05-01,5.69608954719803
2007-06-01,0.920706072460524
2007-07-01,-1.72510493559125
2007-08-01,-3.67278183307713
2007-09-01,0.163884296730894
2007-10-01,-0.977403797993664
2007-11-01,5.50176310769408
2007-12-01,-0.686273166856147
2008-01-01,0.900664809246639
2008-02-01,-0.0701706422436152
2008-03-01,5.10416714163901
2008-04-01,4.20337953623566
2008-05-01,7.04097521170388
2008-06-01,7.20130996553949
2008-07-01,1.89100249980954
2008-08-01,-5.18101505164992
2008-09-01,-3.10308957011901
2008-10-01,-10.2546314239206
2008-11-01,-17.9749612413144
2008-12-01,-9.88743695311101
2009-01-01,2.02386099393544
2009-02-01,2.35880931383216
2009-03-01,-0.720036253573618
2009-04-01,1.26793422520767
2009-05-01,4.00937096558785
2009-06-01,9.89732971660004
2009-07-01,-1.68932076647451
2009-08-01,1.50194614188514
2009-09-01,-1.3309199838026
2009-10-01,-1.50561453301226
2009-11-01,2.42371911364571
2009-12-01,-0.845480477978295
2010-01-01,2.82994152278043
2010-02-01,-1.71661234653362
2010-03-01,2.71159912939278
2010-04-01,1.41810199096187
2010-05-01,0.650774496776626
2010-06-01,-1.26094521909098
2010-07-01,0.336388547670803
2010-08-01,0.137023713107177
2010-09-01,-1.25080526466758
2010-10-01,0.449517387846848
2010-11-01,0.484955936799289
2010-12-01,2.82256923149505
2011-01-01,2.43768151849251
2011-02-01,1.60973905565559
2011-03-01,6.90117252931322
2011-04-01,4.52712398357224
2011-05-01,2.71445196157713
2011-06-01,-2.38347620364396
2011-07-01,-0.593697131840891
2011-08-01,-0.377976814783453
2011-09-01,-0.487076192065343
2011-10-01,-3.82385819227084
2011-11-01,-1.13116537015052
2011-12-01,-2.46749266301951
2012-01-01,1.99827808867843
2012-02-01,2.41451494458561
2012-03-01,4.50666150175345
2012-04-01,0.842668937968998
2012-05-01,-2.12328338599181
2012-06-01,-2.45259802002347
2012-07-01,-1.71808639169094
2012-08-01,4.30633573916956
2012-09-01,2.40745327718872
2012-10-01,-2.26620164474196
2012-11-01,-4.62113259062043
2012-12-01,-2.29047567232764
2013-01-01,0.492990624183514
2013-02-01,5.76326377523186
2013-03-01,0.571840771158918
2013-04-01,-1.92655220082943
2013-05-01,1.24531678358536
2013-06-01,1.66098343455539
2013-07-01,-0.218719360434417
2013-08-01,-0.540637307554621
2013-09-01,-0.599173636359978
2013-10-01,-4.01950803378496
2013-11-01,-2.25889218694974
2013-12-01,0.60308146318029
2014-01-01,2.13565161037254
2014-02-01,1.03944462765759
2014-03-01,3.51262802583033
2014-04-01,0.867715322319946
2014-05-01,1.29195898969994
2014-06-01,1.51416896500534
2014-07-01,-0.750794664778464
2014-08-01,-2.69709624011755
2014-09-01,-1.54372765998144
2014-10-01,-4.9911566030023
2014-11-01,-5.49575070821529
2014-12-01,-5.43580173455222
2015-01-01,-8.18266320280287
2015-02-01,2.06521682700046
2015-03-01,4.13739782397493
2015-04-01,-0.496260947291814
2015-05-01,5.21071104238764
2015-06-01,3.04717025148136
2015-07-01,-0.45684842502749
2015-08-01,-3.00383894620018
2015-09-01,-5.44295843337334
2015-10-01,-3.54094653369106
2015-11-01,-2.69098873527643
2015-12-01,-3.11147743663714
2016-01-01,-1.74884664463568
2016-02-01,-4.50127934018236
2016-03-01,4.04275227971474
2016-04-01,3.70635191071239
2016-05-01,3.78180682136471
2016-06-01,3.82098166323252
2016-07-01,-2.04714175019371
2016-08-01,-1.2330305195468
2016-09-01,1.20295157189805
2016-10-01,-0.544288544411077
2016-11-01,-1.73729118109106
2016-12-01,0.994764944984926
2017-01-01,3.26011608537757
2017-02-01,-0.707887459420473
2017-03-01,0.202830545674728
2017-04-01,2.15108989561776
2017-05-01,0.129640309756531
2017-06-01,0.74532816099875
2017-07-01,-1.02225306138404
2017-08-01,1.64894299791662
2017-09-01,4.7679874109979
2017-10-01,-3.90383429681381
2017-11-01,1.00969656037437
2017-12-01,-1.33009843205991
2018-01-01,1.9675892312607
2018-02-01,1.35571979892056
2018-03-01,-0.451950411907157
2018-04-01,2.95266144132788
2018-05-01,3.64666636201615
2018-06-01,1.02596887262468
2018-07-01,-0.885932869855172
2018-08-01,-0.0739739417983516
2018-09-01,-0.341060813698848
2018-10-01,-0.180399266022572
2018-11-01,-4.36176951323769
2018-12-01,-4.63387522578853
2019-01-01,-2.59440033024939
2019-02-01,1.08544447380624
2019-03-01,4.4312913090658
2019-04-01,5.08917269652944
2019-05-01,1.47146728749344
2019-06-01,-1.94886013828049
2019-07-01,0.505481698310089
2019-08-01,-2.47829135429588
2019-09-01,-0.718966899870032
2019-10-01,0.433111439155509
2019-11-01,-0.792693354779972
2019-12-01,-0.770606981121521
2020-01-01,0.0286409180118428
2020-02-01,-2.20096412461334
2020-03-01,-4.214461925377
2020-04-01,-8.26364287754357
2020-05-01,-0.0027310316198781
2020-06-01,5.62771745067622
2020-07-01,2.21637302912933
2020-08-01,-0.153289656742469
2020-09-01,0.757997993534726
2020-10-01,-1.20689134960625
2020-11-01,-1.05366032434414
2020-12-01,1.93787682367224
2021-01-01,3.59213746814362
2021-02-01,3.89919765385609
2021-03-01,5.90030805009447
2021-04-01,1.44115185888667
2021-05-01,2.71609141221042
2021-06-01,2.28648885225142
2021-07-01,1.69491525423729
2021-08-01,0.751225490196092
2021-09-01,0.644261450946524
2021-10-01,2.86430217380796
2021-11-01,1.47334121830671
2021-12-01,-1.11655731377848
