,WCURCIR
1987-07-22,216.163
1987-07-29,215.423
1987-08-05,216.189
1987-08-12,217.282
1987-08-19,217.316
1987-08-26,216.527
1987-09-02,216.541
1987-09-09,218.295
1987-09-16,218.743
1987-09-23,217.462
1987-09-30,216.555
1987-10-07,217.432
1987-10-14,218.971
1987-10-21,219.1
1987-10-28,218.991
1987-11-04,220.254
1987-11-11,222.253
1987-11-18,223.533
1987-11-25,223.654
1987-12-02,225.003
1987-12-09,225.706
1987-12-16,226.431
1987-12-23,227.655
1987-12-30,229.727
1988-01-06,229.897
1988-01-13,227.816
1988-01-20,225.951
1988-01-27,224.21
1988-02-03,223.373
1988-02-10,224.27
1988-02-17,225.003
1988-02-24,224.465
1988-03-02,223.702
1988-03-09,224.76
1988-03-16,225.65
1988-03-23,225.663
1988-03-30,225.679
1988-04-06,227.532
1988-04-13,228.867
1988-04-20,228.733
1988-04-27,227.996
1988-05-04,228.63
1988-05-11,230.033
1988-05-18,230.529
1988-05-25,230.437
1988-06-01,232.083
1988-06-08,233.526
1988-06-15,233.599
1988-06-22,233.342
1988-06-29,233.227
1988-07-06,236.168
1988-07-13,237.22
1988-07-20,236.011
1988-07-27,234.865
1988-08-03,235.287
1988-08-10,236.491
1988-08-17,236.452
1988-08-24,235.627
1988-08-31,235.152
1988-09-07,237.033
1988-09-14,237.449
1988-09-21,236.157
1988-09-28,235.089
1988-10-05,235.85
1988-10-12,237.605
1988-10-19,237.899
1988-10-26,236.97
1988-11-02,237.193
1988-11-09,238.648
1988-11-16,240.644
1988-11-23,240.68
1988-11-30,242.206
1988-12-07,242.451
1988-12-14,243.39
1988-12-21,244.312
1988-12-28,246.598
1989-01-04,247.726
1989-01-11,245.887
1989-01-18,243.652
1989-01-25,241.475
1989-02-01,239.57
1989-02-08,240.056
1989-02-15,240.656
1989-02-22,240.785
1989-03-01,240.654
1989-03-08,241.256
1989-03-15,242.112
1989-03-22,242.319
1989-03-29,242.416
1989-04-05,243.201
1989-04-12,244.264
1989-04-19,244.33
1989-04-26,243.582
1989-05-03,243.843
1989-05-10,245.299
1989-05-17,245.806
1989-05-24,245.467
1989-05-31,246.755
1989-06-07,247.852
1989-06-14,248.311
1989-06-21,247.745
1989-06-28,247.336
1989-07-05,249.662
1989-07-12,251.404
1989-07-19,250.166
1989-07-26,248.885
1989-08-02,248.685
1989-08-09,249.577
1989-08-16,249.838
1989-08-23,248.995
1989-08-30,248.025
1989-09-06,249.652
1989-09-13,250.236
1989-09-20,248.83
1989-09-27,247.624
1989-10-04,247.906
1989-10-11,249.558
1989-10-18,249.814
1989-10-25,249.252
1989-11-01,248.791
1989-11-08,250.129
1989-11-15,251.335
1989-11-22,252.154
1989-11-29,253.635
1989-12-06,253.836
1989-12-13,255.346
1989-12-20,256.683
1989-12-27,259.115
1990-01-03,260.576
1990-01-10,259.149
1990-01-17,257.371
1990-01-24,255.264
1990-01-31,253.271
1990-02-07,253.692
1990-02-14,254.694
1990-02-21,255.263
1990-02-28,255.001
1990-03-07,255.654
1990-03-14,256.946
1990-03-21,257.135
1990-03-28,257.027
1990-04-04,258.1
1990-04-11,259.946
1990-04-18,260.954
1990-04-25,260.314
1990-05-02,259.957
1990-05-09,261.283
1990-05-16,262.221
1990-05-23,262.431
1990-05-30,263.796
1990-06-06,265.328
1990-06-13,265.913
1990-06-20,265.832
1990-06-27,265.489
1990-07-04,267.761
1990-07-11,270.025
1990-07-18,269.524
1990-07-25,268.48
1990-08-01,268.181
1990-08-08,269.567
1990-08-15,270.623
1990-08-22,270.836
1990-08-29,270.755
1990-09-05,273.095
1990-09-12,274.084
1990-09-19,272.938
1990-09-26,271.909
1990-10-03,272.342
1990-10-10,274.605
1990-10-17,275.477
1990-10-24,274.846
1990-10-31,274.555
1990-11-07,275.72
1990-11-14,277.702
1990-11-21,278.925
1990-11-28,280.094
1990-12-05,279.853
1990-12-12,281.154
1990-12-19,282.476
1990-12-26,284.937
1991-01-02,286.872
1991-01-09,286.251
1991-01-16,284.585
1991-01-23,283.706
1991-01-30,283.129
1991-02-06,282.948
1991-02-13,283.975
1991-02-20,284.793
1991-02-27,284.552
1991-03-06,285.548
1991-03-13,286.942
1991-03-20,286.743
1991-03-27,286.044
1991-04-03,286.991
1991-04-10,288.204
1991-04-17,288.314
1991-04-24,287.214
1991-05-01,286.432
1991-05-08,287.768
1991-05-15,288.69
1991-05-22,288.622
1991-05-29,289.766
1991-06-05,290.667
1991-06-12,290.991
1991-06-19,290.918
1991-06-26,290.564
1991-07-03,292.314
1991-07-10,294.856
1991-07-17,294.309
1991-07-24,292.886
1991-07-31,292.275
1991-08-07,293.356
1991-08-14,294.249
1991-08-21,294.006
1991-08-28,293.431
1991-09-04,295.144
1991-09-11,295.86
1991-09-18,294.981
1991-09-25,293.694
1991-10-02,293.579
1991-10-09,294.977
1991-10-16,296.573
1991-10-23,296.34
1991-10-30,295.455
1991-11-06,296.906
1991-11-13,299.025
1991-11-20,299.278
1991-11-27,299.668
1991-12-04,302.178
1991-12-11,303.274
1991-12-18,303.665
1991-12-25,305.665
1992-01-01,307.62
1992-01-08,306.777
1992-01-15,303.833
1992-01-22,301.94
1992-01-29,300.56
1992-02-05,300.111
1992-02-12,301.372
1992-02-19,302.673
1992-02-26,302.01
1992-03-04,301.707
1992-03-11,302.736
1992-03-18,303.286
1992-03-25,302.883
1992-04-01,302.935
1992-04-08,304.414
1992-04-15,305.985
1992-04-22,306.19
1992-04-29,305.512
1992-05-06,306.592
1992-05-13,307.76
1992-05-20,307.798
1992-05-27,309.05
1992-06-03,309.872
1992-06-10,310.209
1992-06-17,310.443
1992-06-24,310.114
1992-07-01,310.268
1992-07-08,313.278
1992-07-15,314.444
1992-07-22,313.904
1992-07-29,313.441
1992-08-05,314.752
1992-08-12,316.215
1992-08-19,316.298
1992-08-26,315.326
1992-09-02,316.405
1992-09-09,319.405
1992-09-16,319.949
1992-09-23,318.144
1992-09-30,317.309
1992-10-07,318.785
1992-10-14,321.067
1992-10-21,320.982
1992-10-28,319.936
1992-11-04,320.821
1992-11-11,323.105
1992-11-18,324.922
1992-11-25,325.58
1992-12-02,327.249
1992-12-09,328.034
1992-12-16,329.132
1992-12-23,331.143
1992-12-30,334.091
1993-01-06,334.498
1993-01-13,331.871
1993-01-20,329.737
1993-01-27,327.908
1993-02-03,326.923
1993-02-10,328.52
1993-02-17,330.475
1993-02-24,330.212
1993-03-03,329.937
1993-03-10,331.095
1993-03-17,331.885
1993-03-24,332.034
1993-03-31,332.163
1993-04-07,333.779
1993-04-14,335.963
1993-04-21,336.081
1993-04-28,335.135
1993-05-05,336.289
1993-05-12,338.027
1993-05-19,338.593
1993-05-26,338.588
1993-06-02,341.173
1993-06-09,342.795
1993-06-16,342.962
1993-06-23,342.67
1993-06-30,342.841
1993-07-07,346.316
1993-07-14,347.776
1993-07-21,346.41
1993-07-28,345.568
1993-08-04,346.535
1993-08-11,348.412
1993-08-18,348.795
1993-08-25,348.218
1993-09-01,348.4
1993-09-08,351.311
1993-09-15,352.116
1993-09-22,350.862
1993-09-29,350.358
1993-10-06,351.761
1993-10-13,353.921
1993-10-20,354.075
1993-10-27,352.887
1993-11-03,353.225
1993-11-10,355.245
1993-11-17,356.86
1993-11-24,357.269
1993-12-01,359.178
1993-12-08,359.549
1993-12-15,360.538
1993-12-22,363.542
1993-12-29,366.037
1994-01-05,365.605
1994-01-12,363.756
1994-01-19,362.753
1994-01-26,361.775
1994-02-02,360.868
1994-02-09,362.425
1994-02-16,363.959
1994-02-23,364.911
1994-03-02,365.003
1994-03-09,365.809
1994-03-16,366.657
1994-03-23,366.968
1994-03-30,367.553
1994-04-06,369.685
1994-04-13,371.301
1994-04-20,371.169
1994-04-27,370.569
1994-05-04,371.47
1994-05-11,373.429
1994-05-18,374.062
1994-05-25,374.051
1994-06-01,377.203
1994-06-08,378.365
1994-06-15,378.634
1994-06-22,378.541
1994-06-29,379.133
1994-07-06,383.363
1994-07-13,384.652
1994-07-20,383.437
1994-07-27,382.462
1994-08-03,383.074
1994-08-10,384.573
1994-08-17,384.811
1994-08-24,384.299
1994-08-31,384.212
1994-09-07,387.291
1994-09-14,387.617
1994-09-21,385.907
1994-09-28,385.184
1994-10-05,386.448
1994-10-12,389.552
1994-10-19,389.632
1994-10-26,388.828
1994-11-02,389.632
1994-11-09,391.729
1994-11-16,394.302
1994-11-23,394.273
1994-11-30,396.138
1994-12-07,396.036
1994-12-14,396.995
1994-12-21,398.292
1994-12-28,401.965
1995-01-04,403.951
1995-01-11,401.475
1995-01-18,399.553
1995-01-25,397.77
1995-02-01,395.645
1995-02-08,396.018
1995-02-15,396.551
1995-02-22,397.264
1995-03-01,397.045
1995-03-08,398.428
1995-03-15,401.281
1995-03-22,401.282
1995-03-29,401.048
1995-04-05,402.513
1995-04-12,404.764
1995-04-19,406.008
1995-04-26,405.808
1995-05-03,406.097
1995-05-10,407.683
1995-05-17,408.532
1995-05-24,408.032
1995-05-31,409.689
1995-06-07,410.246
1995-06-14,409.74
1995-06-21,408.429
1995-06-28,407.834
1995-07-05,411.282
1995-07-12,412.916
1995-07-19,411.021
1995-07-26,409.655
1995-08-02,409.561
1995-08-09,410.957
1995-08-16,411.075
1995-08-23,410.035
1995-08-30,409.336
1995-09-06,412.003
1995-09-13,412.566
1995-09-20,410.769
1995-09-27,409.293
1995-10-04,410.123
1995-10-11,412.616
1995-10-18,412.505
1995-10-25,411.002
1995-11-01,410.781
1995-11-08,411.99
1995-11-15,413.081
1995-11-22,414.297
1995-11-29,416.648
1995-12-06,416.437
1995-12-13,417.451
1995-12-20,418.827
1995-12-27,422.541
1996-01-03,424.36
1996-01-10,421.531
1996-01-17,419.194
1996-01-24,415.738
1996-01-31,412.386
1996-02-07,411.959
1996-02-14,412.44
1996-02-21,413.311
1996-02-28,413.395
1996-03-06,414.39
1996-03-13,415.778
1996-03-20,416.347
1996-03-27,415.927
1996-04-03,417.231
1996-04-10,419.126
1996-04-17,419.345
1996-04-24,417.681
1996-05-01,416.957
1996-05-08,418.305
1996-05-15,419.445
1996-05-22,419.726
1996-05-29,422.17
1996-06-05,423.023
1996-06-12,423.302
1996-06-19,423.216
1996-06-26,423.307
1996-07-03,426.191
1996-07-10,430.125
1996-07-17,428.982
1996-07-24,427.454
1996-07-31,427.204
1996-08-07,428.721
1996-08-14,429.721
1996-08-21,429.551
1996-08-28,429.235
1996-09-04,432.488
1996-09-11,433.382
1996-09-18,431.694
1996-09-25,430.215
1996-10-02,430.376
1996-10-09,431.86
1996-10-16,433.884
1996-10-23,433.263
1996-10-30,432.209
1996-11-06,433.779
1996-11-13,436.556
1996-11-20,437.186
1996-11-27,438.112
1996-12-04,441.566
1996-12-11,441.889
1996-12-18,442.446
1996-12-25,446.263
1997-01-01,449.867
1997-01-08,448.27
1997-01-15,443.887
1997-01-22,441.682
1997-01-29,439.713
1997-02-05,439.036
1997-02-12,440.124
1997-02-19,442.161
1997-02-26,441.892
1997-03-05,442.35
1997-03-12,443.496
1997-03-19,443.563
1997-03-26,443.341
1997-04-02,444.462
1997-04-09,446.186
1997-04-16,446.611
1997-04-23,445.81
1997-04-30,445.551
1997-05-07,446.668
1997-05-14,448.038
1997-05-21,448.273
1997-05-28,450.8
1997-06-04,451.628
1997-06-11,451.542
1997-06-18,451.753
1997-06-25,451.467
1997-07-02,453.484
1997-07-09,458.001
1997-07-16,456.809
1997-07-23,455.139
1997-07-30,454.333
1997-08-06,455.313
1997-08-13,456.597
1997-08-20,456.564
1997-08-27,456.374
1997-09-03,459.718
1997-09-10,459.987
1997-09-17,458.542
1997-09-24,457.458
1997-10-01,457.144
1997-10-08,459.088
1997-10-15,461.705
1997-10-22,461.452
1997-10-29,460.55
1997-11-05,462.533
1997-11-12,465.671
1997-11-19,467.128
1997-11-26,468.214
1997-12-03,471.808
1997-12-10,472.13
1997-12-17,473.019
1997-12-24,477.058
1997-12-31,481.483
1998-01-07,480.653
1998-01-14,475.173
1998-01-21,472.48
1998-01-28,470.083
1998-02-04,469.222
1998-02-11,470.496
1998-02-18,472.973
1998-02-25,472.774
1998-03-04,472.782
1998-03-11,473.803
1998-03-18,473.959
1998-03-25,473.642
1998-04-01,473.74
1998-04-08,475.467
1998-04-15,477.069
1998-04-22,476.825
1998-04-29,475.78
1998-05-06,476.972
1998-05-13,478.292
1998-05-20,478.333
1998-05-27,480.757
1998-06-03,481.276
1998-06-10,481.381
1998-06-17,481.559
1998-06-24,481.14
1998-07-01,482.139
1998-07-08,486.083
1998-07-15,486.539
1998-07-22,485.623
1998-07-29,485.642
1998-08-05,486.895
1998-08-12,488.202
1998-08-19,488.157
1998-08-26,487.776
1998-09-02,488.718
1998-09-09,492.832
1998-09-16,493.798
1998-09-23,492.411
1998-09-30,492.791
1998-10-07,493.936
1998-10-14,497.342
1998-10-21,497.204
1998-10-28,496.637
1998-11-04,498.277
1998-11-11,501.013
1998-11-18,502.606
1998-11-25,503.917
1998-12-02,506.975
1998-12-09,506.759
1998-12-16,507.775
1998-12-23,511.453
1998-12-30,516.782
1999-01-06,516.894
1999-01-13,511.483
1999-01-20,508.993
1999-01-27,506.779
1999-02-03,506.429
1999-02-10,508.576
1999-02-17,511.751
1999-02-24,512.217
1999-03-03,512.507
1999-03-10,513.89
1999-03-17,514.779
1999-03-24,515.112
1999-03-31,515.762
1999-04-07,518.383
1999-04-14,519.983
1999-04-21,519.662
1999-04-28,519.328
1999-05-05,520.647
1999-05-12,522.415
1999-05-19,523.123
1999-05-26,523.79
1999-06-02,528.315
1999-06-09,528.988
1999-06-16,528.252
1999-06-23,527.946
1999-06-30,529.034
1999-07-07,534.404
1999-07-14,534.748
1999-07-21,533.058
1999-07-28,532.879
1999-08-04,534.495
1999-08-11,535.891
1999-08-18,536.406
1999-08-25,536.203
1999-09-01,536.933
1999-09-08,541.819
1999-09-15,542.626
1999-09-22,542.578
1999-09-29,542.567
1999-10-06,545.124
1999-10-13,549.939
1999-10-20,551.699
1999-10-27,553.281
1999-11-03,557.187
1999-11-10,562.906
1999-11-17,568.348
1999-11-24,573.274
1999-12-01,580.664
1999-12-08,585.216
1999-12-15,592.106
1999-12-22,602.552
1999-12-29,619.311
2000-01-05,625.897
2000-01-12,599.272
2000-01-19,581.666
2000-01-26,571.88
2000-02-02,566.817
2000-02-09,565.846
2000-02-16,565.917
2000-02-23,565.995
2000-03-01,564.333
2000-03-08,563.875
2000-03-15,563.876
2000-03-22,563.45
2000-03-29,562.991
2000-04-05,564.146
2000-04-12,565.22
2000-04-19,565.036
2000-04-26,564.532
2000-05-03,564.595
2000-05-10,565.083
2000-05-17,565.459
2000-05-24,565.221
2000-05-31,568.82
2000-06-07,569.466
2000-06-14,568.501
2000-06-21,567.78
2000-06-28,567.585
2000-07-05,572.093
2000-07-12,573.405
2000-07-19,570.52
2000-07-26,568.846
2000-08-02,568.896
2000-08-09,569.742
2000-08-16,570.072
2000-08-23,569.067
2000-08-30,568.79
2000-09-06,572.637
2000-09-13,572.073
2000-09-20,569.649
2000-09-27,568.349
2000-10-04,569.594
2000-10-11,572.918
2000-10-18,572.442
2000-10-25,570.968
2000-11-01,571.054
2000-11-08,572.716
2000-11-15,574.203
2000-11-22,576.55
2000-11-29,580.489
2000-12-06,579.278
2000-12-13,580.186
2000-12-20,583.205
2000-12-27,589.803
2001-01-03,593.612
2001-01-10,588.511
2001-01-17,584.339
2001-01-24,580.581
2001-01-31,578.487
2001-02-07,580.022
2001-02-14,581.885
2001-02-21,584.138
2001-02-28,584.052
2001-03-07,584.492
2001-03-14,585.07
2001-03-21,585.342
2001-03-28,585.422
2001-04-04,586.79
2001-04-11,588.057
2001-04-18,588.863
2001-04-25,588.001
2001-05-02,588.369
2001-05-09,589.718
2001-05-16,590.329
2001-05-23,590.981
2001-05-30,594.97
2001-06-06,595.205
2001-06-13,594.278
2001-06-20,594.018
2001-06-27,593.979
2001-07-04,598.386
2001-07-11,601.487
2001-07-18,601.089
2001-07-25,600.585
2001-08-01,602.491
2001-08-08,605.497
2001-08-15,606.769
2001-08-22,607.329
2001-08-29,608.577
2001-09-05,613.357
2001-09-12,612.636
2001-09-19,615.319
2001-09-26,612.921
2001-10-03,613.098
2001-10-10,616.642
2001-10-17,616.039
2001-10-24,614.719
2001-10-31,614.551
2001-11-07,617.296
2001-11-14,621.247
2001-11-21,622.847
2001-11-28,626.092
2001-12-05,625.307
2001-12-12,626.873
2001-12-19,630.427
2001-12-26,638.496
2002-01-02,643.044
2002-01-09,638.956
2002-01-16,632.719
2002-01-23,632.017
2002-01-30,630.409
2002-02-06,631.843
2002-02-13,635.017
2002-02-20,638.84
2002-02-27,637.836
2002-03-06,638.543
2002-03-13,639.616
2002-03-20,640.023
2002-03-27,640.608
2002-04-03,642.93
2002-04-10,644.043
2002-04-17,643.836
2002-04-24,643.509
2002-05-01,644.267
2002-05-08,646.492
2002-05-15,647.781
2002-05-22,648.855
2002-05-29,654.071
2002-06-05,654.441
2002-06-12,654.398
2002-06-19,654.82
2002-06-26,655.436
2002-07-03,659.984
2002-07-10,664.099
2002-07-17,661.441
2002-07-24,659.685
2002-07-31,659.59
2002-08-07,660.92
2002-08-14,660.893
2002-08-21,660.401
2002-08-28,660.018
2002-09-04,664.329
2002-09-11,663.56
2002-09-18,661.153
2002-09-25,659.713
2002-10-02,660.138
2002-10-09,661.683
2002-10-16,664.412
2002-10-23,662.855
2002-10-30,662.102
2002-11-06,663.948
2002-11-13,668.079
2002-11-20,667.813
2002-11-27,669.935
2002-12-04,674.544
2002-12-11,674.339
2002-12-18,675.482
2002-12-25,681.523
2003-01-01,686.685
2003-01-08,683.223
2003-01-15,676.426
2003-01-22,675.941
2003-01-29,674.782
2003-02-05,675.778
2003-02-12,678.459
2003-02-19,682.83
2003-02-26,682.262
2003-03-05,682.387
2003-03-12,683.029
2003-03-19,683.717
2003-03-26,684.519
2003-04-02,685.884
2003-04-09,686.974
2003-04-16,687.634
2003-04-23,687.541
2003-04-30,687.244
2003-05-07,688.815
2003-05-14,689.722
2003-05-21,689.936
2003-05-28,693.612
2003-06-04,692.938
2003-06-11,692.19
2003-06-18,691.54
2003-06-25,691.146
2003-07-02,693.612
2003-07-09,697.862
2003-07-16,694.526
2003-07-23,692.719
2003-07-30,692.566
2003-08-06,694.304
2003-08-13,694.989
2003-08-20,694.728
2003-08-27,694.765
2003-09-03,700.111
2003-09-10,698.497
2003-09-17,696.224
2003-09-24,695.964
2003-10-01,696.782
2003-10-08,698.99
2003-10-15,703.121
2003-10-22,702.633
2003-10-29,702.005
2003-11-05,703.239
2003-11-12,706.331
2003-11-19,706.826
2003-11-26,708.825
2003-12-03,713.268
2003-12-10,711.797
2003-12-17,713.54
2003-12-24,718.645
2003-12-31,723.706
2004-01-07,721.161
2004-01-14,713.15
2004-01-21,711.204
2004-01-28,709.493
2004-02-04,710.16
2004-02-11,712.514
2004-02-18,716.116
2004-02-25,714.209
2004-03-03,713.389
2004-03-10,713.741
2004-03-17,713.946
2004-03-24,714.152
2004-03-31,714.388
2004-04-07,716.249
2004-04-14,717.608
2004-04-21,716.925
2004-04-28,716.331
2004-05-05,718.505
2004-05-12,719.551
2004-05-19,719.799
2004-05-26,720.862
2004-06-02,726.561
2004-06-09,726.353
2004-06-16,724.918
2004-06-23,724.944
2004-06-30,729.41
2004-07-07,736.293
2004-07-14,736.25
2004-07-21,733.731
2004-07-28,733.036
2004-08-04,733.953
2004-08-11,735.022
2004-08-18,735.064
2004-08-25,734.441
2004-09-01,734.99
2004-09-08,741.27
2004-09-15,740.142
2004-09-22,737.504
2004-09-29,736.84
2004-10-06,738.567
2004-10-13,742.576
2004-10-20,741.416
2004-10-27,740.707
2004-11-03,742.555
2004-11-10,745.485
2004-11-17,748.462
2004-11-24,749.823
2004-12-01,753.88
2004-12-08,751.418
2004-12-15,751.148
2004-12-22,753.631
2004-12-29,756.9
2005-01-05,755.028
2005-01-12,750.039
2005-01-19,748.845
2005-01-26,746.876
2005-02-02,747.011
2005-02-09,750.164
2005-02-16,751.141
2005-02-23,753.243
2005-03-02,751.862
2005-03-09,751.57
2005-03-16,751.952
2005-03-23,751.997
2005-03-30,753.036
2005-04-06,754.51
2005-04-13,754.147
2005-04-20,753.363
2005-04-27,752.62
2005-05-04,753.669
2005-05-11,754.516
2005-05-18,754.287
2005-05-25,754.266
2005-06-01,760.446
2005-06-08,761.106
2005-06-15,759.558
2005-06-22,758.984
2005-06-29,759.885
2005-07-06,766.501
2005-07-13,765.725
2005-07-20,762.345
2005-07-27,760.818
2005-08-03,762.964
2005-08-10,764.34
2005-08-17,763.818
2005-08-24,762.757
2005-08-31,762.858
2005-09-07,768.957
2005-09-14,769.108
2005-09-21,767.077
2005-09-28,766.619
2005-10-05,767.373
2005-10-12,771.142
2005-10-19,768.929
2005-10-26,767.81
2005-11-02,768.401
2005-11-09,770.878
2005-11-16,776.243
2005-11-23,776.963
2005-11-30,780.611
2005-12-07,778.108
2005-12-14,779.37
2005-12-21,783.813
2005-12-28,792.055
2006-01-04,793.635
2006-01-11,786.749
2006-01-18,784.844
2006-01-25,782.063
2006-02-01,781.02
2006-02-08,784.452
2006-02-15,786.568
2006-02-22,789.472
2006-03-01,788.386
2006-03-08,789.068
2006-03-15,789.749
2006-03-22,788.929
2006-03-29,788.446
2006-04-05,789.654
2006-04-12,790.718
2006-04-19,791.15
2006-04-26,790.652
2006-05-03,791.791
2006-05-10,793.731
2006-05-17,793.975
2006-05-24,793.843
2006-05-31,798.189
2006-06-07,796.788
2006-06-14,794.479
2006-06-21,793.045
2006-06-28,792.877
2006-07-05,798.132
2006-07-12,798.289
2006-07-19,794.573
2006-07-26,792.679
2006-08-02,792.753
2006-08-09,794.03
2006-08-16,794.418
2006-08-23,793.264
2006-08-30,793.538
2006-09-06,798.503
2006-09-13,796.131
2006-09-20,792.495
2006-09-27,790.748
2006-10-04,791.787
2006-10-11,795.772
2006-10-18,794.852
2006-10-25,794.146
2006-11-01,794.737
2006-11-08,797.339
2006-11-15,799.918
2006-11-22,803.01
2006-11-29,807.706
2006-12-06,805.603
2006-12-13,806.225
2006-12-20,808.651
2006-12-27,816.824
2007-01-03,819.803
2007-01-10,812.449
2007-01-17,807.874
2007-01-24,803.306
2007-01-31,800.808
2007-02-07,802.412
2007-02-14,804.604
2007-02-21,807.8
2007-02-28,806.639
2007-03-07,806.879
2007-03-14,806.706
2007-03-21,806.291
2007-03-28,805.485
2007-04-04,806.666
2007-04-11,808.216
2007-04-18,808.144
2007-04-25,807.201
2007-05-02,807.361
2007-05-09,808.678
2007-05-16,809.05
2007-05-23,808.818
2007-05-30,813.595
2007-06-06,812.919
2007-06-13,811.424
2007-06-20,810.24
2007-06-27,809.734
2007-07-04,814.807
2007-07-11,817.326
2007-07-18,813.996
2007-07-25,812.468
2007-08-01,812.382
2007-08-08,813.011
2007-08-15,812.36
2007-08-22,811.037
2007-08-29,809.869
2007-09-05,814.925
2007-09-12,812.932
2007-09-19,809.893
2007-09-26,809.845
2007-10-03,811.777
2007-10-10,816.15
2007-10-17,814.491
2007-10-24,812.803
2007-10-31,813.07
2007-11-07,815.761
2007-11-14,821.038
2007-11-21,820.706
2007-11-28,821.924
2007-12-05,818.02
2007-12-12,818.198
2007-12-19,819.46
2007-12-26,825.497
2008-01-02,829.075
2008-01-09,822.574
2008-01-16,813.45
2008-01-23,812.048
2008-01-30,809.686
2008-02-06,811.518
2008-02-13,813.774
2008-02-20,817.06
2008-02-27,815.364
2008-03-05,815.899
2008-03-12,816.854
2008-03-19,816.969
2008-03-26,816.856
2008-04-02,815.572
2008-04-09,815.089
2008-04-16,813.879
2008-04-23,812.79
2008-04-30,812.355
2008-05-07,814.244
