,PIEATI01EZM661N
2014-11-01,101.4
2014-12-01,100.5
2015-01-01,99.6
2015-02-01,100.3
2015-03-01,100.7
2015-04-01,100.9
2015-05-01,100.9
2015-06-01,100.8
2015-07-01,100.7
2015-08-01,99.8
2015-09-01,99.4
2015-10-01,99.1
2015-11-01,99.2
2015-12-01,98.5
2016-01-01,97.5
2016-02-01,96.9
2016-03-01,97.1
2016-04-01,96.9
2016-05-01,97.4
2016-06-01,98.0
2016-07-01,98.2
2016-08-01,98.1
2016-09-01,98.2
2016-10-01,98.9
2016-11-01,99.3
2016-12-01,100.1
2017-01-01,100.9
2017-02-01,100.9
2017-03-01,100.7
2017-04-01,100.9
2017-05-01,100.5
2017-06-01,100.2
2017-07-01,100.1
2017-08-01,100.2
2017-09-01,100.6
2017-10-01,100.7
2017-11-01,101.3
2017-12-01,101.6
2018-01-01,101.9
2018-02-01,101.8
2018-03-01,101.9
2018-04-01,101.9
2018-05-01,102.8
2018-06-01,103.2
2018-07-01,103.7
2018-08-01,104.0
2018-09-01,104.4
2018-10-01,104.8
2018-11-01,104.5
2018-12-01,103.8
2019-01-01,104.0
2019-02-01,104.1
2019-03-01,104.1
2019-04-01,104.1
2019-05-01,104.0
2019-06-01,103.4
2019-07-01,103.5
2019-08-01,103.2
2019-09-01,103.4
2019-10-01,103.2
2019-11-01,103.4
2019-12-01,103.5
2020-01-01,103.6
2020-02-01,103.1
2020-03-01,101.5
2020-04-01,99.8
2020-05-01,99.4
2020-06-01,99.9
2020-07-01,100.4
2020-08-01,100.4
2020-09-01,100.5
2020-10-01,100.8
2020-11-01,101.1
2020-12-01,101.6
2021-01-01,103.1
2021-02-01,103.8
2021-03-01,104.9
2021-04-01,105.8
2021-05-01,106.9
2021-06-01,108.3
2021-07-01,110.6
2021-08-01,111.7
2021-09-01,114.0
2021-10-01,118.8
2021-11-01,120.5
