,Open,High,Low,Close,Volume
2022-01-26 09:30:00-05:00,4.090000152587891,4.110000133514404,3.890000104904175,3.9500999450683594,4619324
2022-01-26 10:30:00-05:00,3.930000066757202,3.9700000286102295,3.9000000953674316,3.9649999141693115,1807896
2022-01-26 11:30:00-05:00,3.9649999141693115,4.199999809265137,3.9600000381469727,4.164999961853027,2606269
2022-01-26 12:30:00-05:00,4.1596999168396,4.159999847412109,4.019999980926514,4.045000076293945,1289190
2022-01-26 13:30:00-05:00,4.03000020980835,4.150000095367432,3.994999885559082,4.039999961853027,1689993
2022-01-26 14:30:00-05:00,4.03000020980835,4.03000020980835,3.9000000953674316,3.9049999713897705,2607383
2022-01-26 15:30:00-05:00,3.994999885559082,4.0,3.869999885559082,3.875,1361913
2022-01-26 16:00:00-05:00,3.9,3.9,3.85,3.89,0
2022-01-26 17:00:00-05:00,3.89,3.9,3.88,3.9,0
2022-01-26 18:00:00-05:00,3.87,3.97,3.87,3.91,0
2022-01-27 04:00:00-05:00,3.91,4.05,3.9,4.03,0
2022-01-27 06:00:00-05:00,4.03,4.04,3.99,3.99,0
2022-01-27 07:00:00-05:00,3.96,3.99,3.86,3.96,0
2022-01-27 08:00:00-05:00,3.91,3.97,3.85,3.95,0
2022-01-27 09:00:00-05:00,3.9,3.99,3.89,3.92,0
2022-01-27 09:30:00-05:00,3.9200000762939453,3.9800000190734863,3.6700000762939453,3.670599937438965,1132242
2022-01-27 10:30:00-05:00,3.6700000762939453,3.6700000762939453,3.5799999237060547,3.61299991607666,732432
2022-01-27 11:30:00-05:00,3.6101999282836914,3.690000057220459,3.5999999046325684,3.609999895095825,514814
2022-01-27 12:30:00-05:00,3.5999999046325684,3.674999952316284,3.5199999809265137,3.5250000953674316,667233
2022-01-27 13:30:00-05:00,3.5204999446868896,3.6449999809265137,3.5199999809265137,3.5899999141693115,662713
2022-01-27 14:30:00-05:00,3.590100049972534,3.6489999294281006,3.5199999809265137,3.5399999618530273,646036
2022-01-27 15:30:00-05:00,3.5494000911712646,3.559999942779541,3.509999990463257,3.5250000953674316,838193
2022-01-27 16:00:00-05:00,3.525,3.57,3.51,3.57,0
2022-01-27 17:00:00-05:00,3.58,3.66,3.53,3.65,0
2022-01-27 18:00:00-05:00,3.6,3.6,3.55,3.55,0
2022-01-28 04:00:00-05:00,3.57,3.58,3.54,3.55,0
2022-01-28 05:00:00-05:00,3.59,3.6,3.53,3.53,0
2022-01-28 06:00:00-05:00,3.59,3.59,3.53,3.54,0
2022-01-28 07:00:00-05:00,3.54,3.57,3.5,3.5,0
2022-01-28 08:00:00-05:00,3.5,3.55,3.48,3.5,0
2022-01-28 09:00:00-05:00,3.49,3.62,3.48,3.5,0
2022-01-28 09:30:00-05:00,3.5,3.5299999713897705,3.369999885559082,3.378999948501587,774143
2022-01-28 10:30:00-05:00,3.375,3.6600000858306885,3.375,3.590100049972534,614023
2022-01-28 11:30:00-05:00,3.5999999046325684,3.700000047683716,3.5199999809265137,3.615000009536743,580494
2022-01-28 12:30:00-05:00,3.619999885559082,3.6600000858306885,3.5350000858306885,3.5399999618530273,473274
2022-01-28 13:30:00-05:00,3.549999952316284,3.619999885559082,3.509999990463257,3.5250000953674316,364406
2022-01-28 14:30:00-05:00,3.5250000953674316,3.5999999046325684,3.5000998973846436,3.575000047683716,438398
2022-01-28 15:30:00-05:00,3.5799999237060547,3.6600000858306885,3.5601000785827637,3.609999895095825,512635
2022-01-28 16:00:00-05:00,3.62,3.65,3.53,3.625,0
2022-01-28 17:00:00-05:00,3.64,3.65,3.54,3.64,0
2022-01-28 18:00:00-05:00,3.64,3.65,3.55,3.55,0
2022-01-31 04:00:00-05:00,3.65,3.65,3.57,3.57,0
2022-01-31 05:00:00-05:00,3.58,3.58,3.51,3.57,0
2022-01-31 07:00:00-05:00,3.6,3.62,3.56,3.6,0
2022-01-31 08:00:00-05:00,3.58,3.65,3.56,3.61,0
2022-01-31 09:00:00-05:00,3.6,3.63,3.6,3.6,0
2022-01-31 09:30:00-05:00,3.640000104904175,3.7699999809265137,3.5850000381469727,3.7049999237060547,938761
2022-01-31 10:30:00-05:00,3.7049999237060547,3.734999895095825,3.649399995803833,3.6700000762939453,791897
2022-01-31 11:30:00-05:00,3.6705000400543213,3.75,3.6500000953674316,3.7200000286102295,748700
2022-01-31 12:30:00-05:00,3.7200000286102295,3.755000114440918,3.6600000858306885,3.6600000858306885,547125
2022-01-31 13:30:00-05:00,3.6649999618530273,3.759999990463257,3.6600000858306885,3.7495999336242676,579476
2022-01-31 14:30:00-05:00,3.75,3.809999942779541,3.7100000381469727,3.75,812193
