symbol,language,region,quoteType,quoteSourceName,triggerable,currency,esgPopulated,sourceInterval,exchangeDataDelayedBy,pageViewGrowthWeekly,prevName,nameChangeDate,tradeable,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,trailingAnnualDividendRate,trailingPE,trailingAnnualDividendYield,epsTrailingTwelveMonths,sharesOutstanding,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,exchange,shortName,longName,messageBoardId,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,market,marketState,firstTradeDateMilliseconds,priceHint,postMarketChangePercent,postMarketTime,postMarketPrice,postMarketChange,regularMarketChange,regularMarketChangePercent,regularMarketTime,regularMarketPrice,regularMarketDayHigh,regularMarketDayRange,regularMarketDayLow,regularMarketVolume,regularMarketPreviousClose,bid,ask,bidSize,askSize,fullExchangeName,financialCurrency,regularMarketOpen,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,displayName,ipoExpectedDate,averageAnalystRating,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,epsForward,forwardPE,epsCurrentYear,priceEpsCurrentYear,dividendDate,ytdReturn,trailingThreeMonthReturns,trailingThreeMonthNavReturns,preMarketChange,preMarketChangePercent,preMarketTime,preMarketPrice
ZNTL,en-US,US,EQUITY,Nasdaq Real Time Price,True,USD,False,15.0,0.0,-0.11367224,,,False,34.48 - 87.19,-33.340004,-0.38238335,34.48,87.19,0.0,,0.0,-3.594,45305500.0,8.705,70.5934,-16.7434,-0.23718083,64.1309,-10.280899,-0.16031116,2439700992.0,6.1861,NGM,"Zentalis Pharmaceuticals, Inc.","Zentalis Pharmaceuticals, Inc.",finmb_647536411,America/New_York,EST,-18000000.0,us_market,POST,1585920600000.0,2.0,0.0,1644268747.0,53.85,0.0,0.7899971,1.488875,1644267603.0,53.85,54.86,52.26 - 54.86,52.26,261589.0,53.06,53.78,70.0,11.0,10.0,NasdaqGM,USD,52.95,284635.0,334930.0,19.369999,0.5617749,Zentalis Pharmaceuticals,,1.3 - Strong Buy,1636527600.0,1648038600.0,1648470600.0,-6.4,-8.4140625,-4.19,-12.852028,,,,,,,,
ZS,en-US,US,EQUITY,Delayed Quote,True,USD,False,15.0,0.0,-0.018243896,,,False,157.03 - 376.11,-113.18997,-0.30094913,157.03,376.11,0.0,,0.0,-2.172,140082000.0,3.786,287.559,-24.638977,-0.08568321,257.7264,5.1936035,0.020151615,36830359552.0,69.44533,NMS,"Zscaler, Inc.","Zscaler, Inc.",finmb_58838228,America/New_York,EST,-18000000.0,us_market,POST,1521207000000.0,2.0,0.38034382,1644277947.0,263.92,1.0,3.9400024,1.5213538,1644267604.0,262.92,271.42,258.7 - 271.42,258.7,1551281.0,258.98,262.04,264.0,22.0,12.0,NasdaqGS,USD,260.165,2602645.0,2621240.0,105.890015,0.6743298,Zscaler,,1.9 - Buy,1645736400.0,1645736400.0,1645736400.0,0.93,282.7097,0.52,505.61542,,,,,,,,
ZTO,en-US,US,EQUITY,Nasdaq Real Time Price,True,USD,False,15.0,0.0,0.13764703,,,False,25.225 - 38.96,-9.089998,-0.23331618,25.225,38.96,0.0,36.740467,0.0,0.813,808448000.0,58.037,29.3746,0.49540138,0.016864957,29.7858,0.084199905,0.0028268471,24204169216.0,0.5146717,NYQ,ZTO Express (Cayman) Inc.,ZTO Express (Cayman) Inc.,finmb_403424124,America/New_York,EST,-18000000.0,us_market,POST,1477575000000.0,2.0,0.0,1644271428.0,29.87,0.0,-0.15,-0.499666,1644267602.0,29.87,30.05,29.53 - 30.05,29.53,1132167.0,30.02,29.83,29.84,8.0,9.0,NYSE,CNY,29.99,3243272.0,1927180.0,4.6450005,0.18414272,ZTO Express (Cayman),,1.7 - Buy,1637168429.0,1647374400.0,1647892800.0,1.22,24.483606,0.93,32.11828,1619049600.0,,,,,,,
ZTS,en-US,US,EQUITY,Nasdaq Real Time Price,True,USD,False,15.0,0.0,-0.03164585,,,False,141.41 - 249.27,-48.949997,-0.19637339,141.41,249.27,0.95,48.281513,0.0047609503,4.149,473126016.0,9.884,219.3468,-19.026794,-0.086742975,201.78625,-1.4662476,-0.0072663403,94776606720.0,20.2671,NYQ,Zoetis Inc.,Zoetis Inc.,finmb_215548781,America/New_York,EST,-18000000.0,us_market,POST,1359729000000.0,2.0,0.0,1644271435.0,200.32,0.0,0.780014,0.390906,1644267822.0,200.32,201.99,199.545 - 201.99,199.545,3080322.0,199.54,195.0,200.3,9.0,8.0,NYSE,USD,199.91,1981904.0,2975260.0,58.910004,0.41659006,Zoetis,,1.8 - Buy,1644931800.0,1644931800.0,1644931800.0,5.21,38.44914,4.67,42.895077,1646092800.0,,,,,,,
ZWS,en-US,US,EQUITY,Nasdaq Real Time Price,True,USD,False,15.0,0.0,1.0332439,Rexnord Corporation,2022-02-07,False,28.98 - 65.68,-35.739998,-0.54415345,28.98,65.68,0.3,30.897835,0.009752926,0.969,125720000.0,1.005,34.4464,-4.506399,-0.13082352,46.4602,-16.5202,-0.35557747,3764056832.0,29.791046,NYQ,Zurn Water Solutions Corporatio,Zurn Water Solutions Corporation,finmb_46888354,America/New_York,EST,-18000000.0,us_market,POST,1333027800000.0,2.0,0.0668465,1644267611.0,29.94,0.0200005,-0.82,-2.6658,1644267602.0,29.94,30.84,29.89 - 30.84,29.89,672934.0,30.76,30.01,30.04,8.0,8.0,NYSE,USD,30.74,943141.0,1325380.0,0.960001,0.03312633,Zurn Water,,2.0 - Buy,1643731680.0,1643731680.0,1643731680.0,1.29,23.209303,1.1,27.218182,1646611200.0,,,,,,,
A,en-US,US,EQUITY,Nasdaq Real Time Price,True,USD,False,15.0,0.0,0.09067103,,,False,112.47 - 179.57,-39.200012,-0.21829933,112.47,179.57,0.776,35.626904,0.0054988666,3.94,300366016.0,17.832,148.7108,-8.340805,-0.05608742,151.791,-11.421005,-0.07524165,42162376704.0,7.871803,NYQ,"Agilent Technologies, Inc.","Agilent Technologies, Inc.",finmb_154924,America/New_York,EST,-18000000.0,us_market,POSTPOST,942935400000.0,2.0,0.0,1644271837.0,140.37,0.0,-0.75,-0.5314626,1644267726.0,140.37,142.485,139.81 - 142.485,139.81,1185548.0,141.12,140.21,140.35,9.0,11.0,NYSE,USD,141.5,1711456.0,1658700.0,27.899994,0.2480661,Agilent,,,1645563600.0,1645563600.0,1645563600.0,4.71,29.802546,4.28,32.796726,1643155200.0,,,,,,,
AA,en-US,US,EQUITY,Delayed Quote,True,USD,False,15.0,0.0,0.042588364,,,False,20.96 - 65.77,-2.0199966,-0.030713042,20.96,65.77,0.1,28.207964,0.0015571472,2.26,184100000.0,12.596,55.7302,8.019798,0.14390399,45.744,18.006,0.3936254,11736375296.0,5.0611305,NYQ,Alcoa Corporation,Alcoa Corporation,finmb_369991357,America/New_York,EST,-18000000.0,us_market,POSTPOST,-252322200000.0,2.0,0.28235343,1644280770.0,63.93,0.1800003,-0.47000122,-0.7318611,1644267602.0,63.75,65.77,63.02 - 65.77,63.02,4729925.0,64.22,63.72,63.97,9.0,8.0,NYSE,USD,64.95,7913658.0,7368320.0,42.79,2.0415077,Alcoa,,1.9 - Buy,1642608600.0,1649880000.0,1650312000.0,7.01,9.094151,7.38,8.638211,1637280000.0,,,,,,,
AAL,en-US,US,EQUITY,Delayed Quote,True,USD,False,15.0,0.0,0.14545694,,,False,14.91 - 26.09,-8.809999,-0.33767724,14.91,26.09,0.0,,0.0,-3.095,647728000.0,-11.332,17.618,-0.33799934,-0.019184887,20.16105,-2.88105,-0.14290178,11192739840.0,-1.5248854,NMS,"American Airlines Group, Inc.",American Airlines Group Inc.,finmb_168569,America/New_York,EST,-18000000.0,us_market,POSTPOST,1127827800000.0,2.0,0.4050908,1644281992.0,17.35,0.069999695,0.8299999,5.045592,1644267604.0,17.28,17.505,16.645 - 17.505,16.645,52927528.0,16.45,17.35,17.36,31.0,14.0,NasdaqGS,USD,16.69,38665083.0,41027950.0,2.3700008,0.15895379,American Airlines,,3.1 - Hold,1642662006.0,1650457800.0,1650889800.0,2.09,8.267943,-2.08,-8.307693,1582070400.0,,,,,,,
AAOI,en-US,US,EQUITY,Nasdaq Real Time Price,True,USD,False,15.0,0.0,0.038461566,,,False,3.63 - 12.97,-9.04,-0.69699305,3.63,12.97,0.0,,0.0,-2.041,27297600.0,9.714,4.9644,-1.0343997,-0.2083635,6.859075,-2.929075,-0.42703643,107279568.0,0.40457073,NGM,"Applied Optoelectronics, Inc.","Applied Optoelectronics, Inc.",finmb_1043391,America/New_York,EST,-18000000.0,us_market,POSTPOST,1380202200000.0,4.0,-1.27226,1644271870.0,3.88,-0.05,-0.01999998,-0.5063286,1644267603.0,3.93,4.01,3.84 - 4.01,3.84,533951.0,3.95,3.88,3.91,10.0,10.0,NasdaqGM,USD,3.95,635650.0,347100.0,0.29999995,0.08264461,Applied Optoelectronics,,2.7 - Hold,1645736400.0,1645736400.0,1645736400.0,-0.66,-5.9545455,-0.78,-5.0384617,,,,,,,,
AAON,en-US,US,EQUITY,Nasdaq Real Time Price,True,USD,False,15.0,0.0,0.014905092,,,False,59.12 - 83.79,-24.52,-0.29263636,59.12,83.79,0.38,44.563908,0.0063375584,1.33,52428000.0,7.636,74.0932,-14.8232,-0.20006154,68.6699,-9.399899,-0.13688529,3107407616.0,7.761917,NMS,"AAON, Inc.","AAON, Inc.",finmb_320500,America/New_York,EST,-18000000.0,us_market,POSTPOST,724516200000.0,2.0,0.0,1644271431.0,59.27,0.0,-0.6899986,-1.150765,1644267603.0,59.27,60.22,59.16 - 60.22,59.16,142868.0,59.96,59.18,59.36,8.0,8.0,NasdaqGS,USD,59.84,229654.0,247910.0,0.15000153,0.0025372384,AAON,,3.0 - Hold,1636041662.0,1645623000.0,1646055000.0,1.69,35.071007,1.25,47.416,1639699200.0,,,,,,,
AAP,en-US,US,EQUITY,Nasdaq Real Time Price,True,USD,False,15.0,0.0,-0.14040448,,,False,151.01 - 244.55,-18.61,-0.076098956,151.01,244.55,2.5,23.01049,0.011013701,9.819,62355200.0,51.663,233.1684,-7.2283936,-0.031000743,215.43124,10.508759,0.048780106,14088534016.0,4.373343,NYQ,Advance Auto Parts Inc.,"Advance Auto Parts, Inc.",finmb_24333,America/New_York,EST,-18000000.0,us_market,POSTPOST,1007044200000.0,2.0,0.0,1644271200.0,225.94,0.0,-1.050003,-0.4625768,1644267601.0,225.94,228.97,223.93 - 228.97,223.93,629954.0,226.99,226.29,225.59,10.0,12.0,NYSE,USD,228.44,655166.0,616650.0,74.93001,0.49619237,Advance Auto Parts,,2.2 - Buy,1644872400.0,1644872400.0,1644872400.0,13.26,17.039215,11.91,18.970613,1641168000.0,,,,,,,
AAPL,en-US,US,EQUITY,Nasdaq Real Time Price,True,USD,False,15.0,0.0,-0.4294401,,,False,116.21 - 182.94,-11.279999,-0.061659552,116.21,182.94,0.865,28.538654,0.0050176927,6.015,16319399936.0,4.402,171.1084,0.5516052,0.003223718,149.13165,22.52835,0.15106352,2801388224512.0,38.99591,NMS,Apple Inc.,Apple Inc.,finmb_24937,America/New_York,EST,-18000000.0,us_market,POSTPOST,345479400000.0,2.0,0.41943446,1644281995.0,172.38,0.7200012,-0.7299957,-0.42345598,1644267603.0,171.66,173.9458,170.95 - 173.9458,170.95,70713656.0,172.39,172.45,172.4,9.0,9.0,NasdaqGS,USD,172.86,101007314.0,114673790.0,55.450005,0.47715348,Apple,,1.8 - Buy,1643301000.0,1651003200.0,1651521600.0,6.55,26.207634,6.15,27.912195,1644451200.0,,,,,,,
AAT,en-US,US,EQUITY,Nasdaq Real Time Price,True,USD,False,15.0,0.0,0.05402773,,,False,28.42 - 40.83,-5.6500015,-0.13837868,28.42,40.83,1.11,91.13989,0.031587936,0.386,60472100.0,20.589,36.3936,-1.2136002,-0.033346526,37.3205,-2.140499,-0.057354514,2127408512.0,1.7086793,NYQ,"American Assets Trust, Inc.","American Assets Trust, Inc.",finmb_4368282,America/New_York,EST,-18000000.0,us_market,POSTPOST,1294929000000.0,2.0,0.0,1644271429.0,35.18,0.0,0.040000916,0.113832995,1644267602.0,35.18,35.47,35.09 - 35.47,35.09,134771.0,35.14,29.25,38.0,8.0,11.0,NYSE,USD,35.16,254895.0,248180.0,6.76,0.23786066,American Assets Trust,,2.8 - Hold,1644354000.0,1644354000.0,1644354000.0,0.8,43.975,0.38,92.57895,1640217600.0,,,,,,,
AAWW,en-US,US,EQUITY,Nasdaq Real Time Price,True,USD,False,15.0,0.0,0.05970226,,,False,53.11 - 97.13,-18.799995,-0.19355498,53.11,97.13,0.0,4.6297064,0.0,16.919,29028300.0,90.414,86.2868,-7.9567947,-0.092213355,77.7839,0.54610443,0.00702079,2273786880.0,0.86634815,NMS,Atlas Air Worldwide Holdings,"Atlas Air Worldwide Holdings, Inc.",finmb_340272,America/New_York,EST,-18000000.0,us_market,POSTPOST,1131546600000.0,2.0,0.0,1644271200.0,78.33,0.0,1.5600052,2.0320506,1644267603.0,78.33,79.26,76.8 - 79.26,76.8,670497.0,76.77,78.87,78.91,9.0,8.0,NasdaqGS,USD,77.755,588503.0,742250.0,25.220001,0.4748635,Atlas Air Worldwide,,2.1 - Buy,1645104600.0,1645104600.0,1645104600.0,13.36,5.863024,17.58,4.4556317,,,,,,,,
AB,en-US,US,EQUITY,Delayed Quote,True,USD,False,15.0,0.0,0.10743081,,,False,35.45 - 57.54,-10.990002,-0.19099759,35.45,57.54,3.58,13.186969,0.076725245,3.53,98754096.0,15.692,49.029,-2.479,-0.050561916,48.9635,-2.4135017,-0.049291853,4597003264.0,2.9664795,NYQ,AllianceBernstein Holding L.P.,AllianceBernstein Holding L.P.,finmb_249248,America/New_York,EST,-18000000.0,us_market,POSTPOST,577027800000.0,2.0,0.0,1644277050.0,46.55,0.0,-0.11000061,-0.23574927,1644267602.0,46.55,47.48,46.17 - 47.48,46.17,374745.0,46.66,46.61,46.7,8.0,8.0,NYSE,USD,46.87,338185.0,498360.0,11.099998,0.31311703,AllianceBernstein Holding L.P,,2.3 - Buy,1644586200.0,1644586200.0,1644586200.0,3.92,11.875,3.6,12.930555,1637712000.0,,,,,,,
ABB,en-US,US,EQUITY,Nasdaq Real Time Price,True,USD,False,15.0,0.0,0.13029544,,,False,28.62 - 39.11,-4.420002,-0.11301462,28.62,39.11,0.9,15.417777,0.026431719,2.25,1949880064.0,7.957,36.518,-1.8280029,-0.050057583,35.3489,-0.6589012,-0.018639935,67654168576.0,4.359683,NYQ,ABB Ltd,ABB Ltd,finmb_18527,America/New_York,EST,-18000000.0,us_market,POSTPOST,986563800000.0,2.0,-1.55664,1644268977.0,34.15,-0.539997,0.6399994,1.879587,1644267602.0,34.69,34.9463,34.54 - 34.9463,34.54,2142386.0,34.05,34.7,34.71,32.0,40.0,NYSE,USD,34.61,1626061.0,2572490.0,6.069998,0.21208936,ABB,,2.2 - Buy,,,,1.79,19.379889,1.57,22.09554,1620950400.0,,,,,,,
ABBV,en-US,US,EQUITY,Delayed Quote,True,USD,False,15.0,0.0,-0.073072396,,,False,102.05 - 143.015,-0.4850006,-0.003391257,102.05,143.015,5.31,22.097675,0.037753288,6.45,1767879936.0,7.665,130.8192,11.7108,0.08951897,118.07305,24.456947,0.20713404,251975925760.0,18.594912,NYQ,AbbVie Inc.,AbbVie Inc.,finmb_141885706,America/New_York,EST,-18000000.0,us_market,POSTPOST,1357137000000.0,2.0,0.329756,1644281864.0,143.0,0.47000122,1.8800049,1.3366548,1644267754.0,142.53,143.015,140.33 - 143.015,140.33,8929721.0,140.65,142.94,142.42,8.0,10.0,NYSE,USD,141.17,6972585.0,9522480.0,40.479996,0.39666826,AbbVie,,2.0 - Buy,1643787785.0,1651149000.0,1651494600.0,12.11,11.769612,14.06,10.137268,1644883200.0,,,,,,,
ABC,en-US,US,EQUITY,Delayed Quote,True,USD,False,15.0,0.0,0.4115307,,,False,100.71 - 140.24,-0.83000183,-0.0059184385,100.71,140.24,1.78,18.077024,0.013029792,7.712,209075008.0,1.155,128.8394,10.570602,0.082044795,122.24425,17.165756,0.1404218,29155788800.0,120.7013,NYQ,AmerisourceBergen Corporation,AmerisourceBergen Corporation,finmb_24809,America/New_York,EST,-18000000.0,us_market,POSTPOST,797002200000.0,2.0,0.509283,1644273444.0,140.12,0.70999146,2.800003,2.0496325,1644267601.0,139.41,140.24,135.39 - 140.24,135.39,1662561.0,136.61,135.21,170.0,11.0,9.0,NYSE,USD,137.02,998854.0,1227120.0,38.700005,0.3842717,AmerisourceBergen,,2.2 - Buy,1643783400.0,1651581000.0,1652099400.0,11.55,12.07013,10.77,12.944289,1646006400.0,,,,,,,
ABCB,en-US,US,EQUITY,Nasdaq Real Time Price,True,USD,False,15.0,0.0,-0.042571455,,,False,43.7 - 59.85,-10.219997,-0.1707602,43.7,59.85,0.6,9.190741,0.0122524,5.4,69608200.0,42.775,50.4748,-0.84479904,-0.016737046,51.4149,-1.7849007,-0.03471563,3454654976.0,1.1602571,NMS,Ameris Bancorp,Ameris Bancorp,finmb_343936,America/New_York,EST,-18000000.0,us_market,POSTPOST,769354200000.0,2.0,0.0,1644267698.0,49.63,0.0,0.65999985,1.3477635,1644267603.0,49.63,49.78,48.72 - 49.78,48.72,283347.0,48.97,49.43,49.6,8.0,11.0,NasdaqGS,USD,48.98,423164.0,526020.0,5.9300003,0.13569795,,,2.1 - Buy,1643299518.0,1650484800.0,1650916800.0,4.88,10.170082,4.6,10.789131,1641772800.0,,,,,,,
